entry_id,nasa_yuwe,pos,gloss_es,gloss_en,gloss_other,semantic_domain,notes
0IXWlP1clWyqLhLrnBkX,chinda pil,n,la canilla,,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0IiVrl9VEWRtBVpefUG7,"caañiishi'j-, caañiishi'ji-(cniishi'j-)",verb transitive,hacer engordar,to fatten,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0IiVrl9VEWRtBVpefUG7,"caañiishi'j-, caañiishi'ji-(cniishi'j-)",verb transitive,hacer engordar,to fatten,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0J6BhiDlsWE9CtZfpRtP,shande-,verb transitive,"desgranar, cosechar",,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0J6BhiDlsWE9CtZfpRtP,shande-,verb transitive,"desgranar, cosechar",,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0JDOkarVMfDe2VwGdvA3,"cyũusu'j-, cyũusu'ju-",verb transitive,"entristecer, causar tristeza",,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0JDOkarVMfDe2VwGdvA3,"cyũusu'j-, cyũusu'ju-",verb transitive,"entristecer, causar tristeza",,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0LbZs1xCDJHIHSfvDc3M,"pu'ch-, pu'chji-",v.aux,"compartir, colaborar",,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0LbZs1xCDJHIHSfvDc3M,"pu'ch-, pu'chji-",v.aux,"compartir, colaborar",,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0MATAW0hdbEMjGYdLktz,"caapechucue'j-, caapechucue'ju-",verb transitive,mandar dar látigo,to order to whip,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0MATAW0hdbEMjGYdLktz,"caapechucue'j-, caapechucue'ju-",verb transitive,mandar dar látigo,to order to whip,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0Mo3DrXDKweLe2Cn0V2I,nenga,n,la sal,,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0Mo3DrXDKweLe2Cn0V2I,nenga,n,la sal,,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0Nse5l9Ra2Qyu4QjKQlu,vitywe'sh,n,ser sobrenatural,,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0Nse5l9Ra2Qyu4QjKQlu,vitywe'sh,n,ser sobrenatural,,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0O1LRyffDQPQbdeh4b8T,nuytandyi-,verb transitive,llevar alrededor de (ej. en procesión),,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0O1LRyffDQPQbdeh4b8T,nuytandyi-,verb transitive,llevar alrededor de (ej. en procesión),,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0O7O6hoKkmmIcQKzH8hY,mityj yuc,n,asentadero de la olla,,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0O7O6hoKkmmIcQKzH8hY,mityj yuc,n,asentadero de la olla,,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0On8hD1sE4qFOUNbZ0lp,"cãwũhw-, cãwũwu-",verb transitive,sacudir,,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0On8hD1sE4qFOUNbZ0lp,"cãwũhw-, cãwũwu-",verb transitive,sacudir,,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0PDNZEZKFcXyEQTwxMUz,"cuutya'j-, cuutya'ja-",verb transitive,"hacer acercar, arrimar",,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
0PDNZEZKFcXyEQTwxMUz,"cuutya'j-, cuutya'ja-",verb transitive,"hacer acercar, arrimar",,,,"GERDEL, Florence L.; SLOCUM, Marianna C., authors. 1983. Diccionario: páez-español / español-páez. Lomalinda: Editorial Townsend. xxii, 493 pages. http://www.sil.org/americas/colombia/pubs/abstract.asp?id=928474519033"
